Id,group,sex,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18
2200315,Sci,boy,"14/09/2020
7,500/-",,"14/09/2020
7,500/-",,"14/09/2020
7,500/-",,"15.10.2020
7966
Oct/20 (Less=30%)
Others fee",Less 30% in Tuition fee for Oct/20.,"15.10.2020
7966
Oct/20 (Less=30%)
Others fee",Less 30% in Tuition fee for Oct/20.,"17/01/2021
Nov to janu/21
Paid in Janu/21","17/01/2021
Nov to janu/21
Paid in Janu/21","17/01/2021
Nov to janu/21
Paid in Janu/21",,,,,"07/06/21
7968
"
2200316,Sci,G,"14/09/2020
7,500/-",,"14/09/2020
7,500/-",,"14/09/2020
7,500/-",,"29/10/2020
7990
Paid to Oct/20",,"22/09/2020
8,000/-",,"08/10/20
7991
29/10/2020
7990
O/fee","09/11/2020
7992
","15/12/2020
7993
","18/01/2021
7994
","10/02/21
7995","13/03/21
7996
","13/04/2021
7997
",
2200317,Sci,boy,"14/09/2020
7,500/-",,"14/09/2020
7,500/-",,"14/09/2020
7,500/-",,,Less 30% in Tuition fee for Oct/20.,"27/12/2020
Oct  to Dec/20
Paid in Dec/20",Less 30% in Tuition fee for Oct/20.,"27/12/2020
Oct  to Dec/20
Paid in Dec/20","27/12/2020
8014
Oct  to Dec/20
Paid in Dec/20
O/fee Due","28/01/21
8015
Janu/21
Paid in janu/21",,,,,"07/06/21
8016"
2200318,Sci,boy,"14/09/2020
7,500/-",,"14/09/2020
7,500/-",,"14/09/2020
7,500/-",,,Less 30% in Tuition fee for Oct/20.,,Less 30% in Tuition fee for Oct/20.,,,,,,,,"07/06/21
8038
"
2200319,Sci,boy,"14/09/2020
7,500/-",,"14/09/2020
7,500/-",,"14/09/2020
7,500/-",,"18/02/21
8062
O/fee=8000",Less 30% in Tuition fee for Oct/20.,"25/01/21
56545
Oct to Janu/21
Paid in Janu/21",Less 30% in Tuition fee for Oct/20.,"25/01/21
56545
Oct to Janu/21
Paid in Janu/21","25/01/21
56545
Oct to Janu/21
Paid in Janu/21","25/01/21
56545
Oct to Janu/21
Paid in Janu/21","18/02/21
8062
O/fee=8000",,,,"06/06/21
8063
Feb + march/21"
2200320,Sci,G,"14/09/2020
7,500/-",,"14/09/2020
7,500/-",,"14/09/2020
7,500/-",,"26/01/21
9087
O/fee
Oct to Janu/21
Paid in Janu/21",,,,"26/01/21
9087
O/fee
Oct to Janu/21
Paid in Janu/21","26/01/21
9087
O/fee
Oct to Janu/21
Paid in Janu/21","26/01/21
9087
O/fee
Oct to Janu/21
Paid in Janu/21","26/01/21
9087
O/fee
Oct to Janu/21
Paid in Janu/21",,,,
2200321,Sci,boy,"14/09/2020
7,500/-",,"14/09/2020
7,500/-",,"14/09/2020
7,500/-",,"23.09.2020
8110",Less 30% in Tuition fee for Oct/20.,"26/01/2021
8111
Oct to Janu/21
Paid in Janu/21",Less 30% in Tuition fee for Oct/20.,"26/01/2021
8111
Oct to Janu/21
Paid in Janu/21","26/01/2021
8111
Oct to Janu/21
Paid in Janu/21","26/01/2021
8111
Oct to Janu/21
Paid in Janu/21",,,,,"07/06/21
8112
"
2200322,Sci,G,"14/09/2020
7,500/-",,"14/09/2020
7,500/-",,"14/09/2020
7,500/-",,"22/09/2020
8,000/-",,"22/09/2020
8,000/-",,"08/10/2020
By bkash
C=4690/-","08/11/2020
By blash
C=4670","09/12/2020
By bkash
C=4620
H=0
T=4620","05/01/2021
By bkash
C=3380
H=0
Janu/21","10/02/21
8137","09/03/21
By bkash
C=4340","12/04/21
By bkash
C=4340","04/05/21
By bkash
C=4340"
2200323,Sci,boy,"14/09/2020
7,500/-",,"14/09/2020
7,500/-",,"14/09/2020
7,500/-",,,Less 30% in Tuition fee for Oct/20.,"30/01/21
6718
Oct 
Nov=1020 Deu=3310
Paid in janu/21",Less 30% in Tuition fee for Oct/20.,"30/01/21
6718
Oct 
Nov=1020 Deu=3310
Paid in janu/21",,"30/01/21
6718
Oct 
Nov=1020 Deu=3310
Paid in janu/21",,,,,
2200324,Sci,boy,"14/09/2020
7,500/-",,"14/09/2020
7,500/-",,"14/09/2020
7,500/-",,,Less 30% in Tuition fee for Oct/20.,,Less 30% in Tuition fee for Oct/20.,,,,,,,,
2200325,Sci,boy,"14/09/2020
6,000/-",,"14/09/2020
6,000/-",,"14/09/2020
6,000/-
28/01/21
6766
S/c=1500
Oct to Janu/21
Paid in janu/21",,,Less 30% in Tuition fee for Oct/20.,"28/01/21
6766
S/c=1500
Oct to Janu/21
Paid in janu/21",Less 30% in Tuition fee for Oct/20.,"28/01/21
6766
S/c=1500
Oct to Janu/21
Paid in janu/21","28/01/21
6766
S/c=1500
Oct to Janu/21
Paid in janu/21","28/01/21
6766
S/c=1500
Oct to Janu/21
Paid in janu/21",,,,,"03/06/21
6767
Feb/21 to June/21
O/fee Due=8,000/-"
2200326,Sci,boy,"14/09/2020
7,500/-",,"14/09/2020
7,500/-",,"14/09/2020
7,500/-",,"04/01/2021
6791
Janu/21
O/fee=8000
Paid in Janu/21",Less 30% in Tuition fee for Oct/20.,"13/12/2020
6790
Oct to Dec/20
Paid In Dec/20",Less 30% in Tuition fee for Oct/20.,"13/12/2020
6790
Oct to Dec/20
Paid In Dec/20","13/12/2020
6790
Oct to Dec/20
Paid In Dec/20","04/01/2021
6791
Janu/21
O/fee=8000
Paid in Janu/21","10/02/21
6792",,,,"02/06/21
6793
March/21 To June/21"
2200327,Sci,G,"14/09/2020
7,500/-",,"14/09/2020
7,500/-",,"14/09/2020
7,500/-",,,,,,"28/01/21
6814
O/c/20
Nov=380 Due=4240
Paid in janu/21",,,"28/01/21
6814
O/c/20
Nov=380 Due=4240
Paid in janu/21",,,,
2200328,Sci,G,"14/09/2020
7,500/-",,"14/09/2020
7,500/-",,"14/09/2020
7,500/-",,,,,,"20/12/2020
40670
Oct to Dec/20
Paid in Dec/20","20/12/2020
40670
Oct to Dec/20
Paid in Dec/20","20/12/2020
40670
Oct to Dec/20
Paid in Dec/20","27/01/2021
6806
Janu/21",,,,
2200329,Sci,boy,"14/09/2020
7,500/-",,"14/09/2020
7,500/-",,"14/09/2020
7,500/-",,"27/01/21
6862
O/fee=8000
Oct = 2680 Due=1640
Paid in janu/21",Less 30% in Tuition fee for Oct/20.,"27/01/21
6862
O/fee=8000
Oct = 2680 Due=1640
Paid in janu/21",Less 30% in Tuition fee for Oct/20.,,,"27/01/21
6862
O/fee=8000
Oct = 2680 Due=1640
Paid in janu/21",,,,,"03/06/21
6863
"
2200330,Sci,G,"14/09/2020
7,500/-",,"14/09/2020
7,500/-",,"14/09/2020
7,500/-",,"26/01/21
6889
O/fee 8000
Dec/21
Paid in Janu/21",,,,"05/11/2020
6886
Oct/2020
Paid in Nov
","05/11/2020
6886
Oct/2020
01/12/2020
6887
Nov/20
Paid in Dec/20","01/12/20
6887
Nov/20
26/01/21
6889
O/fee 8000
Dec/21
Paid in Janu/21","26/01/21
6889
O/fee 8000
Dec/21
Paid in Janu/21",,"08/03/21
6890/91
Janu/21 + Feb/21
31/03/2021
6892
",,
2200331,Sci,boy,"14/09/2020
7,500/-",,"14/09/2020
7,500/-",,"14/09/2020
7,500/-",,"26/01/21
56557
O/fee=8000
Nov/21=2000 Due=2620
Paid in janu/21",Less 30% in Tuition fee for Oct/20.,"11/11/2020
By bkash
C=4620
Oct/21
Paid innov/21",Less 30% in Tuition fee for Oct/20.,"11/11/2020
By bkash
C=4620
Oct/21
Paid in nov/21
26/01/21
56557
O/fee=8000
Nov/21=2000 Due=2620
Paid in janu/21",,"26/01/21
56557
O/fee=8000
Nov/21=2000 Due=2620
Paid in janu/21",,,,,"05/06/21
3342
10,000/-"
2200332,Sci,G,"14/09/2020
7,500/-",,"14/09/2020
7,500/-",,"14/09/2020
7,500/-",,"27/01/2021
40912
O/fee=8000
Oct=4620
Nov=380 Due=4240
Paid in janu/21",,,,"27/01/2021
40912
O/fee=8000
Oct=4620
Nov=380 Due=4240
Paid in janu/21",,,"27/01/2021
40912
O/fee=8000
Oct=4620
Nov=380 Due=4240
Paid in janu/21",,,,
2200333,Sci,G,"14/09/2020
7,500/-",,"14/09/2020
7,500/-",,"14/09/2020
7,500/-",,"26/01/21
6478
O/fee
Oct to Janu/21
Paid in Janu/21",,,,"26/01/21
6478
O/fee
Oct to Janu/21
Paid in Janu/21","26/01/21
6478
O/fee
Oct to Janu/21
Paid in Janu/21","26/01/21
6478
O/fee
Oct to Janu/21
Paid in Janu/21","26/01/21
6478
O/fee
Oct to Janu/21
Paid in Janu/21",,,,"24/05/21
6479
Up to May/21"
2200334,Sci,boy,"14/09/2020
7,500/-",,"14/09/2020
7,500/-",,"14/09/2020
7,500/-",,"26/01/21
6562
o/fee Full
Nov to Janu/21
Paid in Janu/21",Less 30% in Tuition fee for Oct/20.,"15.10.2020
Bkash=6,660/-
College=4,620/-
Hostel=2,040/-",Less 30% in Tuition fee for Oct/20.,"26/01/21
6562
o/fee Full
Nov to Janu/21
Paid in Janu/21","26/01/21
6562
o/fee Full
Nov to Janu/21
Paid in Janu/21","26/01/21
6562
o/fee Full
Nov to Janu/21
Paid in Janu/21",,,,"05/05/21
By bkash
C=13860",
2200335,Sci,boy,"14/09/2020
7,500/-",,"14/09/2020
7,500/-",,"14/09/2020
7,500/-",,"30/01/21
6526
O/fee Full
Oct to Janu/21
Paid in Janu/21",Less 30% in Tuition fee for Oct/20.,"30/01/21
6526
O/fee Full
Oct to Janu/21
Paid in Janu/21",Less 30% in Tuition fee for Oct/20.,"30/01/21
6526
O/fee Full
Oct to Janu/21
Paid in Janu/21","30/01/21
6526
O/fee Full
Oct to Janu/21
Paid in Janu/21","30/01/21
6526
O/fee Full
Oct to Janu/21
Paid in Janu/21",,,,,"09/06/21
6527
June Due=3100"
2200336,Sci,boy,"14/09/2020
7,500/-",,"14/09/2020
7,500/-",,"14/09/2020
7,500/-",,,Less 30% in Tuition fee for Oct/20.,,Less 30% in Tuition fee for Oct/20.,,,,,,,,
2200337,Sci,boy,"15/09/2020
7,500/-",,"15/09/2020
7,500/-",,"15/09/2020
7,500/-",,,Less 30% in Tuition fee for Oct/20.,"28/01/21
3026
Oct + Nov/20
Paid in  Janu/21",Less 30% in Tuition fee for Oct/20.,"28/01/21
3026
Oct + Nov/20
Paid in  Janu/21",,"28/01/21
3027
O/fee=8000
Paid in janu/21
28/01/21
3026
Oct + Nov/20
Paid in  Janu/21",,,,,
2200338,Sci,boy,"15/09/2020
7,500/-",,"15/09/2020
7,500/-",,"15/09/2020
7,500/-",,"28/01/21
3051
O/fee=8000
Paid in Janu/21",Less 30% in Tuition fee for Oct/20.,"28/01/21
3050
Oct + Nov/20
Paid in janu/21",Less 30% in Tuition fee for Oct/20.,"28/01/21
3050
Oct + Nov/20
Paid in janu/21",,"28/01/21
3050
Oct + Nov/20
Paid in janu/21
28/01/21
3051
O/fee=8000
Paid in Janu/21",,,,,"07/06/21
3052
"
2200339,Sci,boy,"15/09/2020
7,500/-",,"15/09/2020
7,500/-",,"15/09/2020
7,500/-",,"26/01/21
3075
O/fee 
Nov to Janu/21
Paid in Janu/21",Less 30% in Tuition fee for Oct/20.,"09/11/2020
3074
Oct/2020
Paid toNov/2020",Less 30% in Tuition fee for Oct/20.,"09/11/2020
3074
Oct/2020
26/01/21
3075
O/fee 
Nov to Janu/21
Paid in Janu/21","26/01/21
3075
O/fee 
Nov to Janu/21
Paid in Janu/21","26/01/21
3075
O/fee 
Nov to Janu/21
Paid in Janu/21",,,,,"06/06/21
3076
10,580/-"
2200340,Sci,boy,"15.09.2020
3097
7,500/-",,"15.09.2020
3097
7,500/-",,"15.09.2020
3097
7,500/-",,"28.09.2020
3098
8,000/-",Less 30% in Tuition fee for Oct/20.,"14.10.2020
3099
Oct/20
Less=30%",Less 30% in Tuition fee for Oct/20.,"17/12/2020
3100
Nov + Dec/20
Paid in Dec/20","17/12/2020
3100
Nov + Dec/20
Paid in Dec/20","19/01/2021
3101
","20/02/21
3102",,,"06/05/21
3103","05/06/21
3104
"
2200341,Sci,boy,"15/09/2020
7,500/-",,"15/09/2020
7,500/-",,"15/09/2020
7,500/-",,"24/01/2021
3243
Nov + Dec/20
O/fee=8000
Paid in Janu/21",Less 30% in Tuition fee for Oct/20.,"07/11/2020
3242
Oct/2020
Paid to Nov/2020",Less 30% in Tuition fee for Oct/20.,"07/11/2020
3242
Oct/20

24/01/2021
3243
Nov + Dec/20
O/fee=8000
Paid in Janu/21","24/01/2021
3243
Nov + Dec/20
O/fee=8000
Paid in Janu/21","24/01/2021
3243
Nov + Dec/20
O/fee=8000
Paid in Janu/21","18/02/21
3244
Janu/21 + March/21","18/02/21
3244
Janu/21 + March/21","18/02/21
3244
Janu/21 + March/21",,"05/06/21
3245"
2200342,Sci,G,"15/09/2020
10,000/-",,"15/09/2020
10,000/-",,"15/09/2020
10,000/-",,"15/09/2020
10,000/-",,,,,,,,,,,
2200343,Sci,G,"15/09/2020
7,500/-",,"15/09/2020
7,500/-",,"15/09/2020
7,500/-",,,,"08/11/2020
5258
Oct + Nov/20
O/fee
Paid to Nov/2020",,"08/11/2020
5258
Oct + Nov/20
O/fee
Paid to Nov/2020","08/11/2020
5258
Oct + Nov/20
O/fee","09/01/2021
5259
Dec + Janu/21
Paid in Janu/21","09/01/2021
5259
Dec + Janu/21
Paid in Janu/21",,"08/03/21
5260",,"03/05/21
5261
April + May/21"
2200344,Sci,boy,"15/09/2020
7,500/-",,"15/09/2020
7,500/-",,"15/09/2020
7,500/-",,"27/01/21
5282
O/fee
Paid in Janu/21",Less 30% in Tuition fee for Oct/20.,,Less 30% in Tuition fee for Oct/20.,,,"27/01/21
5282
O/fee
Paid in Janu/21",,,,,
2200345,Sci,G,"15/09/2020
7,500/-",,"15/09/2020
7,500/-",,"15/09/2020
7,500/-",,"11/10/20
5306
O/fee=6000
Due=2000
10/12/2020
5307
O/fee=2,000/-
Nov/20
Paid in Dec/20",,,,"11/10/20
5306
O/fee=6000 Due=2000
Oct-4620","10/12/2020
5307
O/fee=2,000/-
Nov/20
Paid in Dec/20","10/12/2020
5307
O/fee=2,000/-
Nov/20
Paid in Dec/20

27/01/2021
5308
Dec + Janu/21
Paid in Janu/21","27/01/2021
5308
Dec + Janu/21
Paid in Janu/21",,,,
2200346,Sci,G,"15/09/2020
7,500/-",,"15/09/2020
7,500/-",,"15/09/2020
7,500/-",,"08/10/20
5336
Paid to Oct/20",,,,"08/10/20
5330
O/fee=8000
Oct=4620","08/11/2020
5331","09/12/2020
5332
","09/01/2021
5333
","09/02/21
5334","07/03/21
5335","08/04/2021
5337
Teacher Quata Adjust","05/05/21
5338
"
2200347,Sci,G,"15/09/2020
7,500/-",,"15/09/2020
7,500/-",,"15/09/2020
7,500/-",,"08/10/20
Paid to Oct/20",,,,"08/10/20
5354
O/fee=8000
Oct=4620","08/11/2020
5355
","09/12/2020
5356
","09/01/21
5357","09/02/21
5358","07/03/21
5259","08/04/2021
5361
","05/05/21
5362
"
2200348,Sci,boy,"15/09/2020
7,500/-",,"15/09/2020
7,500/-",,"15/09/2020
7,500/-",,"30/01/21
O/fee=8000
Oct=2000 Deu=2620
Paid in janu/21",Less 30% in Tuition fee for Oct/20.,"30/01/21
O/fee=8000
Oct=2000 Deu=2620
Paid in janu/21",Less 30% in Tuition fee for Oct/20.,,,"30/01/21
O/fee=8000
Oct=2000 Deu=2620
Paid in janu/21","10/02/21
5379",,,,"05/06/21
5380"
2200349,Sci,G,"15/09/2020
7,500/-",,"15/09/2020
7,500/-",,"15/09/2020
7,500/-",,"30/01/21
5402
O/fee=3000 Deu=5000
Paid in Janu/21",,,,,,,"30/01/21
5402
O/fee=3000 Deu=5000
Paid in Janu/21",,,,
2200350,Sci,boy,"15/09/2020
7,500/-",,"15/09/2020
7,500/-",,"15/09/2020
7,500/-",,"12/110/2020
5427
Nov/20=2590/-
O/fee =4,000/-
Paid to Nov/2020
17/12/2020
5428
O/fee=2,000/-
Due=2000
Paid in Dec/20
19/01/2021
5429
Janu/21
O/fee=2000
Paid in Janu/21",Less 30% in Tuition fee for Oct/20.,"14.10.2020
5426
Oct/20 (Less=30%)
Others fee due by P.sir",Less 30% in Tuition fee for Oct/20.,"12/110/2020
5427
Nov/20=2590/-
O/fee =4,000/-","17/12/2020
5428
","19/01/2021
5429
Janu/21
O/fee=2000
Paid in Janu/21",,"14/03/21
5430
Feb/21",,"20/05/21
5431
March/21","07/06/21
5432
April/21"
2200351,Sci,G,"15/09/2020
7,500/-",,"15/09/2020
7,500/-",,"15/09/2020
7,500/-",,,,,,"28/01/21
3314
O/fee=760 Due=7240
Oct + Nov/20
Paid in janu/21","28/01/21
3314
O/fee=760 Due=7240
Oct + Nov/20
Paid in janu/21",,"28/01/21
3314
O/fee=760 Due=7240
Oct + Nov/20
Paid in janu/21",,,,
2200352,Sci,boy,"15/09/2020
7,500/-",,"15/09/2020
7,500/-",,"15/09/2020
7,500/-",,"22.09.2020
3338",Less 30% in Tuition fee for Oct/20.,,Less 30% in Tuition fee for Oct/20.,"30/11/2020
By bkash
=9240","26/01/2021
By bkash
C= 9240
Dec + Janu/21
Paid in Janu/21","26/01/2021
By bkash
C= 9240
Dec + Janu/21
Paid in Janu/21",,,,"31/05/21
By bkash
C=18,480/-",
2200353,Sci,boy,"15/09/2020
7,500/-",,"15/09/2020
7,500/-",,"15/09/2020
7,500/-",,"27/01/21
3362
O/fee=8000
Oct=2000 Due=2620
Paid in Janu/21",Less 30% in Tuition fee for Oct/20.,"27/01/21
3362
O/fee=8000
Oct=2000 Due=2620
Paid in Janu/21",Less 30% in Tuition fee for Oct/20.,,,"27/01/21
3362
O/fee=8000
Oct=2000 Due=2620
Paid in Janu/21",,,,,
2200354,Sci,boy,"15/09/2020
7,500/-",,"15/09/2020
7,500/-",,"15/09/2020
7,500/-",,"26/01/2021
By bkash
C=8000
O/fee 
Paid in Janu/21",Less 30% in Tuition fee for Oct/20.,"26/01/21
3386
Oct to Janu/21
Paid in Janu/21",Less 30% in Tuition fee for Oct/20.,"26/01/21
3386
Oct to Janu/21
Paid in Janu/21","26/01/21
3386
Oct to Janu/21
Paid in Janu/21","26/01/2021
By bkash
C=8000
O/fee 
Paid in Janu/21
26/01/21
3386
Oct to Janu/21
Paid in Janu/21",,,,,"01/06/21
3387
"
2200355,Sci,boy,"15/09/2020
7,500/-",,"15/09/2020
7,500/-",,"15/09/2020
7,500/-",,"27/01/21
3410
O/fee=8000
Oct to Janu/21
Paid In Janu/21",Less 30% in Tuition fee for Oct/20.,"27/01/21
3410
O/fee=8000
Oct to Janu/21
Paid In Janu/21",Less 30% in Tuition fee for Oct/20.,"27/01/21
3410
O/fee=8000
Oct to Janu/21
Paid In Janu/21","27/01/21
3410
O/fee=8000
Oct to Janu/21
Paid In Janu/21","27/01/21
3410
O/fee=8000
Oct to Janu/21
Paid In Janu/21",,,,,"07/06/21
3411
Up to june/21"
2200356,Sci,boy,"15/09/2020
7,500/-",,"15/09/2020
7,500/-",,"15/09/2020
7,500/-",,"27/01/21
3434
O/fee=8000
Oct to Janu/21
Paid In Janu/21",Less 30% in Tuition fee for Oct/20.,"27/01/21
3434
O/fee=8000
Oct to Janu/21
Paid In Janu/21",Less 30% in Tuition fee for Oct/20.,"27/01/21
3434
O/fee=8000
Oct to Janu/21
Paid In Janu/21","27/01/21
3434
O/fee=8000
Oct to Janu/21
Paid In Janu/21","27/01/21
3434
O/fee=8000
Oct to Janu/21
Paid In Janu/21",,"10/03/21
3435
Feb/21",,,"05/06/21
3436"
2200357,Sci,boy,"15/09/2020
7,500/-",,"15/09/2020
7,500/-",,"15/09/2020
7,500/-",,"26/01/2021
By bkash
C=12620
Janu/21 + O/feee
Paid in Janu/21",Less 30% in Tuition fee for Oct/20.,"23/12/2020
By bkash
C=13860
Oct to Dec/20
Paid in Dec/20",Less 30% in Tuition fee for Oct/20.,"23/12/2020
By bkash
C=13860
Oct to Dec/20
Paid in Dec/20","23/12/2020
By bkash
C=13860
Oct to Dec/20
Paid in Dec/20","26/01/2021
By bkash
C=12620
Janu/21 + O/feee
",,,,"08/05/21
By bkash
C=13860","01/06/21
3267"
2200358,Sci,boy,"15/09/2020
15,500/-",,"15/09/2020
15,500/-",,"15/09/2020
15,500/-",,"15/09/2020
15,500/-",Less 30% in Tuition fee for Oct/20.,"21/01/2021
55927
Oct to Janu/21
Paid in Janu/21
",Less 30% in Tuition fee for Oct/20.,"21/01/2021
55927
Oct to Janu/21
Paid in Janu/21
","21/01/2021
55927
Oct to Janu/21
Paid in Janu/21
","21/01/2021
55927
Oct to Janu/21
Paid in Janu/21
",,,,,"02/06/21
9338
Up to May/21"
2200359,Sci,G,"15/09/2020
7,500/-",,"15/09/2020
7,500/-",,"15/09/2020
7,500/-",,"27/01/2021
4034
O/fee=8000
Oct=44480 Deu=140
Paid in Janu/21",,,,"27/01/2021
4034
O/fee=8000
Oct=44480 Deu=140
Paid in Janu/21",,,"27/01/2021
4034
O/fee=8000
Oct=44480 Deu=140
12,480/-
Paid in Janu/21
27/01/21
DBBL
Oct/20=140
Nov/20 to Janu/21",,,,"08/05/21
4036
Feb/21 to April/21"
